Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
28;-0.973918,-0.946547,-0.343163,-0.5635,0.796151,-0.365684,-0.986165,0.896514,0.935933,0.722487,-0.342584,0.86823;-2.90453,-0.620803,1.27681,1.27629
29;-0.840441,-0.979528,-0.486785,0.573042,0.659409,-0.678848,-0.714247,0.857789,0.904048,0.873554,-0.780975,0.609828;-3.38182,0.526664,-2.49641,0.8913
30;-0.840441,-0.877147,-0.486785,0.699823,0.811155,-0.545181,-0.714247,0.951092,0.913171,0.915297,-0.775761,0.609828;-3.37661,0.760304,-3.01991,0.588196
31;-0.927918,-0.477877,-0.625736,0.206707,0.772125,-0.694794,-0.924882,0.983367,0.947015,0.912547,-0.653866,0.812497;-2.63525,0.838596,-0.700581,0.868174
32;-0.927918,-0.779343,-0.625736,0.394951,0.705741,-0.671342,-0.924882,0.977382,0.946917,0.927963,-0.343124,0.812497;-3.05825,1.12931,-1.71301,1.06197
33;-0.973918,-0.862551,-0.343163,-0.211852,0.853473,-0.172193,-0.986165,0.961626,0.939273,0.848198,0.0596988,0.86823;-2.84832,0.283519,-0.101888,1.10655
34;-0.973918,-0.946547,-0.343163,-0.5635,0.796151,-0.365684,-0.986165,0.896514,0.935933,0.722487,-0.342584,0.86823;-2.90453,-0.620803,1.27681,1.27629
35;-0.840441,-0.979528,-0.486785,0.573042,0.659409,-0.678848,-0.714247,0.857789,0.904048,0.873554,-0.780975,0.609828;-3.38182,0.526664,-2.49641,0.8913
36;-0.840441,-0.877147,-0.486785,0.699823,0.811155,-0.545181,-0.714247,0.951092,0.913171,0.915297,-0.775761,0.609828;-3.37661,0.760304,-3.01991,0.588196
37;-0.927918,-0.477877,-0.625736,0.206707,0.772125,-0.694794,-0.924882,0.983367,0.947015,0.912547,-0.653866,0.812497;-2.63525,0.838596,-0.700581,0.868174
38;-0.927918,-0.779343,-0.625736,0.394951,0.705741,-0.671342,-0.924882,0.977382,0.946917,0.927963,-0.343124,0.812497;-3.05825,1.12931,-1.71301,1.06197
