Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
138;0.216884,-0.830726,0.0931292,-0.570697,0.673278,0.0941154,0.635971,-0.705648,-0.84907,-0.578942,0.559161,-0.14313;0.526743,-1.26574,-1.12778,5.28268
139;0.216956,-0.830718,0.110675,-0.570697,0.667575,0.109166,0.635885,-0.70094,-0.843571,-0.576269,0.553384,-0.143182;0.553189,-1.27,-1.11251,5.22428
140;0.216814,-0.830712,0.0984871,-0.570697,0.666172,0.113348,0.63588,-0.69882,-0.846716,-0.575023,0.557371,-0.143185;0.542474,-1.24767,-1.12401,5.24074
141;0.216779,-0.830711,0.0951071,-0.570697,0.665517,0.116636,0.635877,-0.700089,-0.847611,-0.575883,0.558474,-0.143188;0.533492,-1.23552,-1.13098,5.24682
142;0.216763,-0.830711,0.0924476,-0.570697,0.66597,0.115414,0.635876,-0.700446,-0.848391,-0.576121,0.55934,-0.143188;0.529752,-1.23342,-1.13348,5.25398
143;0.216774,-0.830711,0.0934354,-0.570697,0.666095,0.115188,0.635876,-0.70075,-0.848139,-0.576307,0.559018,-0.143188;0.530238,-1.23479,-1.13279,5.25279
144;0.216777,-0.830711,0.0936179,-0.570697,0.666194,0.11477,0.635876,-0.700648,-0.848099,-0.576238,0.558959,-0.143188;0.530919,-1.23591,-1.13225,5.25264
145;-0.329107,-0.807643,0.00516769,-0.296279,0.733631,0.185545,0.812022,-0.756475,-0.670331,-0.0867865,0.109166,0.346966;1.22857,-3.01766,-0.247849,5.71776
146;0.114107,-0.955001,0.610089,-0.509748,0.0307832,-0.299155,0.695453,-0.73965,-0.461107,0.182418,0.29543,0.699306;2.31103,-7.26801,0.468353,4.36364
147;0.551736,-0.960089,0.917887,-0.585335,-0.0925834,-0.690206,0.603328,0.259322,0.0439762,0.60046,0.470994,0.881847;4.28001,-6.74245,3.19235,1.18436
148;-0.346624,-0.906585,0.941809,-0.296279,-0.24036,0.858341,0.853287,0.0300992,0.4201,-0.0585699,-0.19614,0.386842;-0.232236,-4.12198,3.82807,-0.197376
149;0.355717,-0.266645,-0.367759,0.202444,-0.113755,0.391245,0.83371,-0.0750463,-0.566461,0.0751431,0.597442,-0.0555479;0.629498,-1.87514,0.612838,3.389
150;0.358595,-0.105487,-0.443519,0.202444,0.092808,0.432125,0.48656,-0.0608189,-0.262694,-0.178704,0.470144,-0.169659;0.508572,1.99202,0.316872,3.26095
