Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
68;0.340739,0.3618,-0.468776,0.399256,-0.00226842,-0.13993,-0.843534,0.139005,0.00356829,-0.0916265,0.314493,-0.868458;-2.205,-9.32793,0.363886,0.302372
69;0.351112,0.3618,-0.462302,0.399256,-0.00226842,-0.13993,-0.845596,0.140548,0.0076164,-0.081915,0.269851,-0.882388;-2.11553,-9.34818,0.352186,0.288663
70;0.555138,0.564497,-0.755051,0.372083,0.26575,0.0274009,-0.946117,-0.104553,-0.0851406,-0.328327,0.516252,-0.931297;-3.84712,-11.056,0.596978,-0.41097
71;0.540061,0.160411,-0.257231,0.309487,0.373016,0.175898,-0.719663,0.359242,0.296841,-0.221333,0.0159342,-0.956899;-2.0821,-7.68597,-0.590694,0.79074
72;-0.177868,-0.343113,0.410198,0.631987,0.561107,0.0153992,-0.641653,-0.215874,-0.0708122,0.333327,-0.138105,-0.736646;0.751452,-3.59491,-2.09682,0.900826
73;-0.212989,0.21066,0.36642,0.441713,0.837547,0.347434,-0.631397,-0.313559,-0.0492659,0.648144,0.570877,-0.00758949;0.109036,-4.9081,-3.07126,0.686874
74;-0.136909,0.618772,-0.381163,0.734333,0.724726,0.283079,-0.320389,-0.656238,0.20156,-0.260518,0.581493,0.262654;-2.96053,-6.47233,-1.85304,-0.190036
75;0.0638666,0.618772,-0.388094,0.734333,0.724726,0.283079,0.0559667,-0.649615,-0.159925,-0.278821,-0.139184,0.0813313;-2.17555,-5.88254,-1.4685,-1.39231
76;0.129818,0.618772,0.141676,0.734333,0.724726,0.283079,-0.0987004,-0.64948,-0.318904,0.351688,-0.014261,0.373698;0.257558,-5.50721,-2.65544,-0.88064
77;0.523155,0.625072,-0.0262433,0.0495768,0.748868,0.481449,0.0351764,0.262934,-0.00725757,0.51261,-0.0295369,-0.223476;-0.302447,-6.28886,-1.76293,-0.446368
78;0.313095,0.3618,-0.232316,0.399256,-0.00226842,-0.13993,-0.652376,0.133014,-0.306659,0.288835,0.104002,-0.456776;-0.792076,-7.51442,-0.527967,-0.0798834
79;0.212222,0.3618,-0.326545,0.399256,-0.00226842,-0.13993,-0.737659,0.135806,-0.0841524,0.108423,0.188436,-0.792738;-1.33028,-8.70048,0.109687,0.187725
80;0.326494,0.3618,-0.383067,0.399256,-0.00226842,-0.13993,-0.836087,0.138056,-0.0432167,0.0322442,0.325274,-0.836382;-1.74823,-9.22499,0.221081,0.330373
81;0.34074,0.3618,-0.468772,0.399256,-0.00226842,-0.13993,-0.843535,0.139005,0.00356866,-0.0916211,0.314496,-0.868457;-2.20498,-9.32794,0.363882,0.302379
82;0.351112,0.3618,-0.462304,0.399256,-0.00226842,-0.13993,-0.845597,0.140548,0.00761674,-0.0819179,0.269853,-0.882388;-2.11554,-9.34818,0.35219,0.288664
83;0.555138,0.564497,-0.755052,0.372083,0.26575,0.0274009,-0.946117,-0.104553,-0.0851405,-0.328329,0.516251,-0.931298;-3.84712,-11.056,0.596979,-0.410972
84;0.540061,0.160411,-0.25723,0.309487,0.373016,0.175898,-0.719663,0.359242,0.296841,-0.221332,0.015933,-0.956899;-2.08209,-7.68597,-0.590695,0.79074
85;-0.177868,-0.343113,0.410198,0.631987,0.561107,0.0153992,-0.641653,-0.215874,-0.0708123,0.333328,-0.138104,-0.736646;0.751455,-3.59492,-2.09682,0.900827
86;-0.212989,0.21066,0.36642,0.441713,0.837547,0.347434,-0.631397,-0.313559,-0.0492658,0.648144,0.570877,-0.00758914;0.109034,-4.9081,-3.07126,0.686873
87;0.115656,0.754562,-0.725894,0.719275,0.831224,0.429504,-0.701982,-0.774899,0.109008,-0.512427,0.736603,-0.0149771;-4.66735,-9.21105,-1.32395,-0.659793
88;0.477722,0.754562,-0.780627,0.719275,0.831224,0.429504,-0.593422,-0.76894,-0.156108,-0.614999,0.175235,-0.63765;-4.17992,-10.7477,-0.299362,-1.58894
89;0.562553,0.160411,-0.00185022,0.309487,0.373016,0.175898,-0.539026,0.36241,-0.279905,0.134154,-0.384099,-0.937612;-0.479114,-6.86598,-0.848679,-0.155171
