Passo;Reservat rio (Ativa  es);Sa da (Ativa  es)
32;0.0885905,0.462069,-0.135449,-0.757374,0.379344,0.509275,0.848982,-0.191749,0.258756,0.431854,0.582802,-0.927011;-4.44393,-1.87883,0.776485,0.404126
33;0.173937,0.121344,0.154019,-0.43355,-0.121452,-0.650198,0.72395,0.500247,0.689258,-0.918132,-0.352762,-0.714174;-2.78486,0.106153,-2.3535,1.38443
34;0.173937,-0.200404,-0.36236,-0.509464,-0.040438,-0.887318,-0.456757,0.500247,0.771657,-0.831089,-0.352762,-0.0961346;-3.99899,1.08331,-2.52664,-0.153848
35;0.147985,-0.689754,-0.797936,-0.296397,0.147011,-0.96309,0.880054,0.597271,0.499897,-0.357442,0.27355,-0.318204;-4.91871,-0.662152,-1.23411,0.168515
36;0.147985,0.353921,-0.712728,-0.269053,0.453798,-0.649922,0.990846,0.597271,0.518369,-0.508968,0.27355,-0.557223;-5.42167,0.710199,-1.60738,0.324035
37;0.0885905,0.443791,0.00140356,-0.784917,0.324897,0.249333,0.966212,-0.191749,0.436244,0.271628,0.582802,-0.951031;-4.48008,-1.8657,0.228171,0.366799
38;0.0885905,0.462074,-0.135427,-0.757374,0.379347,0.509285,0.849007,-0.191749,0.258756,0.431836,0.582802,-0.927016;-4.44394,-1.87884,0.776465,0.404166
39;0.173937,0.121364,0.154022,-0.43355,-0.121454,-0.65019,0.723934,0.500247,0.689258,-0.918131,-0.352762,-0.714177;-2.78485,0.106179,-2.35351,1.38444
40;0.173937,-0.200417,-0.362362,-0.509464,-0.0404512,-0.88732,-0.45676,0.500247,0.771657,-0.831089,-0.352762,-0.0961316;-3.99899,1.08329,-2.52665,-0.153837
41;0.147985,-0.689756,-0.797941,-0.296397,0.147019,-0.96309,0.880055,0.597271,0.499897,-0.357434,0.27355,-0.318185;-4.9187,-0.662128,-1.23411,0.168491
42;0.147985,0.353921,-0.712724,-0.269053,0.453799,-0.64992,0.990846,0.597271,0.518369,-0.508973,0.27355,-0.557233;-5.42167,0.710189,-1.60737,0.324042
43;0.0885905,0.443792,0.00140453,-0.784917,0.324897,0.249332,0.966212,-0.191749,0.436244,0.271628,0.582802,-0.951031;-4.48008,-1.8657,0.228169,0.366798
44;0.0885905,0.462073,-0.135427,-0.757374,0.379347,0.509285,0.849007,-0.191749,0.258756,0.431836,0.582802,-0.927016;-4.44394,-1.87884,0.776465,0.404165
45;0.173937,0.121364,0.154022,-0.43355,-0.121453,-0.65019,0.723934,0.500247,0.689258,-0.918131,-0.352762,-0.714176;-2.78485,0.106179,-2.35351,1.38444
46;0.173937,-0.200417,-0.362362,-0.509464,-0.040451,-0.88732,-0.45676,0.500247,0.771657,-0.831089,-0.352762,-0.0961319;-3.99899,1.08329,-2.52665,-0.153837
47;0.147985,-0.689756,-0.797941,-0.296397,0.147019,-0.96309,0.880055,0.597271,0.499897,-0.357434,0.27355,-0.318185;-4.9187,-0.662128,-1.23411,0.168491
